iter	Passed	Remaining
0	60	59964
1	60	30149
2	60	20187
3	61	15233
4	61	12241
5	61	10253
6	62	8825
7	62	7753
8	62	6922
9	63	6262
10	63	5716
11	63	5261
12	64	4878
13	64	4547
14	64	4262
15	65	4011
16	65	3790
17	65	3593
18	66	3416
19	66	3257
20	66	3119
21	67	2993
22	67	2874
23	67	2763
24	68	2663
25	68	2570
26	68	2482
27	69	2401
28	69	2326
29	69	2256
30	70	2190
31	70	2129
32	70	2072
33	71	2018
34	71	1966
35	71	1918
36	71	1872
37	72	1829
38	72	1788
39	72	1749
40	73	1712
41	73	1677
42	73	1644
43	74	1611
44	74	1580
45	74	1550
46	75	1524
47	75	1497
48	75	1471
49	76	1446
50	76	1423
51	76	1400
52	77	1378
53	77	1357
54	77	1337
55	78	1318
56	78	1299
57	78	1281
58	79	1264
59	79	1246
60	79	1229
61	80	1213
62	80	1197
63	80	1181
64	81	1167
65	81	1152
66	81	1139
67	81	1122
68	82	1108
69	82	1095
70	82	1083
71	83	1071
72	83	1059
73	83	1048
74	84	1037
75	84	1026
76	84	1015
77	85	1005
78	85	995
79	85	985
80	85	975
81	86	965
82	86	957
83	86	947
84	87	937
85	87	928
86	87	918
87	87	909
88	88	901
89	88	893
90	88	885
91	89	878
92	89	871
93	89	864
94	89	856
95	90	849
96	90	842
97	90	835
98	91	828
99	91	821
100	91	815
101	91	807
102	91	800
103	92	794
104	92	788
105	92	783
106	93	777
107	93	772
108	93	766
109	94	761
110	94	756
111	94	751
112	95	746
113	95	741
114	95	736
115	95	731
116	96	726
117	96	721
118	96	715
119	97	711
120	97	707
121	97	702
122	97	696
123	98	692
124	98	688
125	98	684
126	98	679
127	99	674
128	99	670
129	99	666
130	99	662
131	100	659
132	100	655
133	100	651
134	101	647
135	101	644
136	101	640
137	101	636
138	102	632
139	102	629
140	102	625
141	103	622
142	103	618
143	103	615
144	103	612
145	104	609
146	104	606
147	104	602
148	105	599
149	105	596
150	105	593
151	105	590
152	106	587
153	106	585
154	106	582
155	107	579
156	107	576
157	107	573
158	107	571
159	108	568
160	108	565
161	108	562
162	109	560
163	109	557
164	109	554
165	109	552
166	110	549
167	110	547
168	110	545
169	111	542
170	111	540
171	111	537
172	112	535
173	112	533
174	112	530
175	112	528
176	113	526
177	113	524
178	113	521
179	114	519
180	114	516
181	114	514
182	114	511
183	114	509
184	115	507
185	115	505
186	115	503
187	116	501
188	116	499
189	116	497
190	116	495
191	117	493
192	117	491
193	117	488
194	117	486
195	118	484
196	118	482
197	118	481
198	119	479
199	119	477
200	119	475
201	119	473
202	120	471
203	120	470
204	120	468
205	120	466
206	121	464
207	121	462
208	121	461
209	122	459
210	122	457
211	122	455
212	123	454
213	123	453
214	123	451
215	124	450
216	124	448
217	124	446
218	124	445
219	125	443
220	125	442
221	125	440
222	125	438
223	126	437
224	126	436
225	126	434
226	127	433
227	127	431
228	127	430
229	128	429
230	128	427
231	128	426
232	129	424
233	129	423
234	129	422
235	130	420
236	130	419
237	130	418
238	130	416
239	131	415
240	131	413
241	131	412
242	131	411
243	132	409
244	132	408
245	132	407
246	133	405
247	133	404
248	133	403
249	133	401
250	134	400
251	134	399
252	134	398
253	135	396
254	135	395
255	135	394
256	135	393
257	136	391
258	136	390
259	136	389
260	137	388
261	137	386
262	137	385
263	137	384
264	138	382
265	138	381
266	138	380
267	138	379
268	139	378
269	139	377
270	139	375
271	140	374
272	140	375
273	141	374
274	141	373
275	141	372
276	142	371
277	142	370
278	143	369
279	143	368
280	143	367
281	143	366
282	144	365
283	144	364
284	144	363
285	145	362
286	145	361
287	145	359
288	145	358
289	146	357
290	146	356
291	146	355
292	146	354
293	147	353
294	147	352
295	147	351
296	148	350
297	148	349
298	148	348
299	149	347
300	149	346
301	149	345
302	149	344
303	150	343
304	150	342
305	150	341
306	150	340
307	151	339
308	151	338
309	151	337
310	152	336
311	152	335
312	152	334
313	152	334
314	153	333
315	153	332
316	153	331
317	153	330
318	154	329
319	154	328
320	154	327
321	154	326
322	155	325
323	155	324
324	155	323
325	156	323
326	156	322
327	156	321
328	157	320
329	157	319
330	157	319
331	158	318
332	158	317
333	158	316
334	159	315
335	159	314
336	159	314
337	159	313
338	160	312
339	160	311
340	160	310
341	161	309
342	161	309
343	161	308
344	162	307
345	162	306
346	162	305
347	162	305
348	163	304
349	163	303
350	163	302
351	163	301
352	164	301
353	164	300
354	164	299
355	165	298
356	165	297
357	165	297
358	165	296
359	166	295
360	166	294
361	166	293
362	166	293
363	167	292
364	167	291
365	168	291
366	169	292
367	169	291
368	170	291
369	170	290
370	170	289
371	171	288
372	171	288
373	171	287
374	171	286
375	172	285
376	172	285
377	172	284
378	173	283
379	173	283
380	173	282
381	174	281
382	174	280
383	174	280
384	174	279
385	175	278
386	175	278
387	175	277
388	176	276
389	176	275
390	176	275
391	176	274
392	177	273
393	177	273
394	178	272
395	178	271
396	178	271
397	178	270
398	179	269
399	179	269
400	179	268
401	180	267
402	180	267
403	180	266
404	180	265
405	181	264
406	181	264
407	181	263
408	181	262
409	182	262
410	182	261
411	182	260
412	183	260
413	183	259
414	183	258
415	183	258
416	184	257
417	184	256
418	184	256
419	185	255
420	185	254
421	185	254
422	185	253
423	186	252
424	186	252
425	186	251
426	187	251
427	187	250
428	187	249
429	187	249
430	188	248
431	188	248
432	188	247
433	189	246
434	189	246
435	189	245
436	190	245
437	190	244
438	190	243
439	191	243
440	191	242
441	191	242
442	192	241
443	192	241
444	192	240
445	193	239
446	193	239
447	193	238
448	194	238
449	194	237
450	194	237
451	194	236
452	195	235
453	195	235
454	195	234
455	196	234
456	196	233
457	196	232
458	196	232
459	197	231
460	197	230
461	197	230
462	198	229
463	198	229
464	198	228
465	198	228
466	199	227
467	199	226
468	199	226
469	200	225
470	200	225
471	200	224
472	200	223
473	201	223
474	201	222
475	201	222
476	202	221
477	202	221
478	202	220
479	203	219
480	203	219
481	203	218
482	203	218
483	204	217
484	204	217
485	204	216
486	205	215
487	205	215
488	205	214
489	205	214
490	206	213
491	206	213
492	206	212
493	207	212
494	207	211
495	207	211
496	208	210
497	208	209
498	208	209
499	208	208
500	209	208
501	209	207
502	209	207
503	209	206
504	210	205
505	210	205
506	210	204
507	210	204
508	211	203
509	211	203
510	211	202
511	212	202
512	212	201
513	212	201
514	212	200
515	213	199
516	213	199
517	213	198
518	214	198
519	214	197
520	214	197
521	214	196
522	215	196
523	215	195
524	215	195
525	215	194
526	216	194
527	216	193
528	216	192
529	217	192
530	217	191
531	217	191
532	217	190
533	218	190
534	218	189
535	218	189
536	219	188
537	219	188
538	219	187
539	219	187
540	220	186
541	220	186
542	220	185
543	221	185
544	221	184
545	221	184
546	221	183
547	222	183
548	222	182
549	222	182
550	223	181
551	223	181
552	223	180
553	223	180
554	224	179
555	224	179
556	224	178
557	225	178
558	225	177
559	225	177
560	225	176
561	226	176
562	226	175
563	226	175
564	227	174
565	227	174
566	227	173
567	227	173
568	228	172
569	228	172
570	229	172
571	229	171
572	229	171
573	229	170
574	230	170
575	230	169
576	230	169
577	230	168
578	231	168
579	231	167
580	231	167
581	232	166
582	232	166
583	232	165
584	233	165
585	233	164
586	233	164
587	233	163
588	234	163
589	234	163
590	234	162
591	235	162
592	235	161
593	235	161
594	236	160
595	236	160
596	236	159
597	236	159
598	237	158
599	237	158
600	237	157
601	237	157
602	238	156
603	238	156
604	238	155
605	239	155
606	239	155
607	239	154
608	240	154
609	240	153
610	240	153
611	241	152
612	241	152
613	241	151
614	241	151
615	242	150
616	242	150
617	242	150
618	243	149
619	243	149
620	243	148
621	243	148
622	244	147
623	244	147
624	244	146
625	245	146
626	245	145
627	245	145
628	245	145
629	246	144
630	246	144
631	246	143
632	247	143
633	247	142
634	247	142
635	248	142
636	248	141
637	248	141
638	248	140
639	249	140
640	249	139
641	249	139
642	250	138
643	250	138
644	250	137
645	251	137
646	251	137
647	251	136
648	251	136
649	252	135
650	252	135
651	252	134
652	253	134
653	253	134
654	253	133
655	253	133
656	254	132
657	254	132
658	254	131
659	255	131
660	255	131
661	255	130
662	256	130
663	256	129
664	256	129
665	256	128
666	257	128
667	257	128
668	257	127
669	258	127
670	258	126
671	258	126
672	258	125
673	259	125
674	259	124
675	259	124
676	260	124
677	260	123
678	260	123
679	261	122
680	261	122
681	261	121
682	261	121
683	262	121
684	262	120
685	262	120
686	262	119
687	263	119
688	263	118
689	263	118
690	264	118
691	264	117
692	264	117
693	264	116
694	265	116
695	265	115
696	265	115
697	266	115
698	266	114
699	266	114
700	267	113
701	267	113
702	267	113
703	267	112
704	268	112
705	268	111
706	268	111
707	268	110
708	269	110
709	269	110
710	269	109
711	270	109
712	270	108
713	270	108
714	270	108
715	271	107
716	271	107
717	271	106
718	272	106
719	272	105
720	272	105
721	272	105
722	273	104
723	273	104
724	273	103
725	274	103
726	274	103
727	274	102
728	274	102
729	275	101
730	275	101
731	275	100
732	276	100
733	276	100
734	276	99
735	276	99
736	277	98
737	277	98
738	277	98
739	278	97
740	278	97
741	278	96
742	278	96
743	279	96
744	279	95
745	279	95
746	279	94
747	280	94
748	280	93
749	280	93
750	281	93
751	281	92
752	281	92
753	281	91
754	282	91
755	282	91
756	282	90
757	283	90
758	283	89
759	283	89
760	283	89
761	284	88
762	284	88
763	284	87
764	285	87
765	285	87
766	285	86
767	285	86
768	286	85
769	286	85
770	286	85
771	287	84
772	287	84
773	287	84
774	287	83
775	288	83
776	288	82
777	288	82
778	289	82
779	289	81
780	289	81
781	290	80
782	290	80
783	290	80
784	291	79
785	291	79
786	291	78
787	291	78
788	292	78
789	292	77
790	292	77
791	293	76
792	293	76
793	293	76
794	294	75
795	294	75
796	294	75
797	294	74
798	295	74
799	295	73
800	295	73
801	296	73
802	296	72
803	296	72
804	296	71
805	297	71
806	297	71
807	297	70
808	298	70
809	298	70
810	298	69
811	299	69
812	299	68
813	299	68
814	299	68
815	300	67
816	300	67
817	300	66
818	300	66
819	301	66
820	301	65
821	301	65
822	302	64
823	302	64
824	302	64
825	302	63
826	303	63
827	303	63
828	303	62
829	304	62
830	304	61
831	304	61
832	305	61
833	305	60
834	305	60
835	305	59
836	306	59
837	306	59
838	306	58
839	306	58
840	307	58
841	307	57
842	307	57
843	308	56
844	308	56
845	308	56
846	308	55
847	309	55
848	309	55
849	309	54
850	310	54
851	310	53
852	310	53
853	311	53
854	311	52
855	311	52
856	311	52
857	312	51
858	312	51
859	312	50
860	313	50
861	313	50
862	313	49
863	313	49
864	314	49
865	314	48
866	314	48
867	314	47
868	315	47
869	315	47
870	315	46
871	316	46
872	316	46
873	316	45
874	317	45
875	317	44
876	317	44
877	317	44
878	318	43
879	318	43
880	318	43
881	318	42
882	319	42
883	319	41
884	319	41
885	320	41
886	320	40
887	320	40
888	321	40
889	321	39
890	321	39
891	321	38
892	322	38
893	322	38
894	322	37
895	323	37
896	323	37
897	323	36
898	324	36
899	324	36
900	324	35
901	324	35
902	325	34
903	325	34
904	325	34
905	326	33
906	326	33
907	326	33
908	327	32
909	327	32
910	327	32
911	328	31
912	328	31
913	328	30
914	328	30
915	329	30
916	329	29
917	329	29
918	329	29
919	330	28
920	330	28
921	330	27
922	330	27
923	331	27
924	331	26
925	331	26
926	332	26
927	332	25
928	332	25
929	332	25
930	333	24
931	333	24
932	333	23
933	334	23
934	334	23
935	334	22
936	335	22
937	335	22
938	335	21
939	335	21
940	336	21
941	336	20
942	336	20
943	337	20
944	337	19
945	337	19
946	338	18
947	338	18
948	338	18
949	339	17
950	339	17
951	339	17
952	340	16
953	340	16
954	340	16
955	340	15
956	341	15
957	341	14
958	341	14
959	342	14
960	342	13
961	342	13
962	342	13
963	343	12
964	343	12
965	343	12
966	343	11
967	344	11
968	344	11
969	344	10
970	344	10
971	345	9
972	346	9
973	346	9
974	346	8
975	346	8
976	347	8
977	347	7
978	347	7
979	348	7
980	348	6
981	348	6
982	348	6
983	349	5
984	349	5
985	349	4
986	350	4
987	350	4
988	350	3
989	351	3
990	351	3
991	351	2
992	351	2
993	352	2
994	352	1
995	352	1
996	353	1
997	353	0
998	353	0
999	353	0
