iter	Passed	Remaining
0	1	1194
1	1	748
2	1	593
3	2	535
4	2	483
5	2	454
6	3	428
7	3	407
8	3	401
9	3	388
10	4	385
11	4	385
12	5	381
13	5	376
14	5	371
15	5	366
16	6	367
17	6	362
18	6	360
19	7	354
20	7	351
21	7	346
22	8	345
23	8	342
24	8	344
25	9	341
26	9	339
27	9	335
28	9	332
29	10	331
30	10	333
31	10	330
32	11	328
33	11	327
34	11	325
35	12	322
36	12	322
37	12	320
38	12	318
39	13	316
40	13	314
41	13	315
42	14	316
43	14	315
44	14	313
45	15	315
46	15	314
47	15	312
48	16	312
49	16	312
50	16	311
51	16	309
52	17	308
53	17	307
54	17	305
55	18	305
56	18	307
57	18	306
58	19	305
59	19	305
60	19	303
61	19	302
62	20	301
63	20	301
64	20	299
65	21	299
66	21	299
67	21	299
68	22	298
69	22	297
70	22	297
71	23	296
72	23	295
73	23	295
74	23	294
75	24	294
76	24	293
77	24	293
78	25	292
79	25	291
80	25	291
81	25	290
82	26	288
83	26	287
84	26	287
85	27	287
86	27	287
87	27	286
88	27	286
89	28	285
90	28	285
91	28	284
92	29	284
93	29	283
94	29	284
95	30	283
96	30	282
97	30	282
98	30	281
99	31	281
100	31	280
101	31	279
102	32	278
103	32	279
104	32	278
105	32	277
106	33	282
107	34	282
108	34	281
109	34	281
110	35	281
111	35	280
112	35	280
113	35	279
114	36	279
115	36	278
116	36	277
117	37	277
118	37	277
119	37	276
120	38	276
121	38	275
122	38	275
123	38	275
124	39	274
125	39	273
126	39	272
127	40	272
128	40	272
129	40	271
130	40	271
131	41	270
132	41	269
133	41	269
134	41	268
135	42	267
136	42	267
137	42	266
138	42	265
139	43	265
140	43	264
141	43	263
142	43	262
143	44	262
144	44	261
145	44	260
146	44	260
147	45	259
148	45	258
149	45	258
150	45	258
151	46	257
152	46	257
153	46	256
154	47	256
155	47	255
156	47	255
157	47	254
158	48	254
159	48	254
160	49	257
161	49	257
162	50	257
163	50	257
164	50	257
165	51	256
166	51	256
167	51	255
168	51	254
169	52	254
170	52	254
171	52	253
172	52	253
173	53	252
174	53	252
175	53	252
176	54	251
177	54	251
178	54	251
179	55	253
180	55	253
181	56	252
182	56	252
183	56	251
184	57	251
185	57	250
186	57	250
187	57	249
188	58	249
189	58	248
190	58	248
191	58	247
192	59	247
193	59	247
194	59	246
195	60	246
196	60	246
197	60	246
198	61	245
199	61	245
200	61	245
201	62	244
202	62	244
203	62	244
204	62	243
205	63	243
206	63	243
207	63	242
208	64	242
209	64	242
210	64	241
211	64	241
212	65	241
213	65	240
214	66	241
215	66	240
216	66	240
217	67	240
218	67	239
219	67	239
220	67	239
221	68	238
222	68	238
223	68	237
224	68	237
225	69	236
226	69	236
227	69	235
228	70	235
229	70	235
230	70	234
231	70	234
232	71	234
233	71	234
234	71	233
235	71	232
236	72	232
237	72	232
238	72	231
239	73	231
240	73	230
241	73	230
242	74	230
243	74	230
244	74	230
245	74	229
246	75	229
247	75	229
248	75	228
249	76	228
250	76	228
251	76	228
252	77	228
253	77	227
254	77	227
255	78	227
256	78	226
257	78	226
258	79	226
259	79	226
260	79	225
261	80	225
